,rank_test_score,mean_test_score,mean_train_score,param_n_estimators,param_max_features,param_max_depth,param_min_samples_split,param_min_samples_leaf,mean_fit_time
515,1,0.804039,0.849637,118,auto,23,11,6,0.415864
167,2,0.803410,0.840468,167,sqrt,89,14,6,0.473665
97,3,0.803253,0.839907,181,sqrt,23,5,8,0.422525
615,4,0.803095,0.833070,134,log2,None,14,8,0.466238
324,5,0.802938,0.832317,132,log2,100,14,8,0.297292
745,6,0.802937,0.842081,157,log2,None,11,6,0.555076
803,7,0.802937,0.846745,128,auto,34,14,4,0.400588
222,8,0.802937,0.854195,189,auto,78,14,2,0.507547
984,9,0.802936,0.848568,122,sqrt,12,11,4,0.278673
94,10,0.802781,0.832527,163,log2,None,2,8,0.407040
109,11,0.802779,0.839872,181,auto,45,11,8,0.395996
933,12,0.802779,0.840013,104,log2,12,5,6,0.263518
754,13,0.802622,0.840065,142,log2,12,11,6,0.513931
255,14,0.802622,0.832772,167,auto,56,2,8,0.416688
357,15,0.802620,0.832299,187,auto,56,11,8,0.401079
432,16,0.802307,0.846394,110,log2,None,14,4,0.405875
688,17,0.802305,0.884752,138,auto,56,5,4,0.511424
147,18,0.802305,0.839083,118,auto,45,5,8,0.302399
603,19,0.802305,0.832159,124,log2,89,2,8,0.423499
219,20,0.802148,0.839609,165,log2,34,14,8,0.431648
380,21,0.802147,0.839837,200,log2,89,11,8,0.653262
470,22,0.802147,0.832895,142,auto,67,14,8,0.535270
621,23,0.802147,0.841538,112,log2,23,8,6,0.402779
148,24,0.802146,0.841082,134,log2,None,5,6,0.325017
456,25,0.801991,0.849900,130,sqrt,67,2,8,0.448413
239,26,0.801990,0.838733,132,auto,23,14,8,0.339438
989,26,0.801990,0.832913,114,log2,45,11,8,0.290309
497,28,0.801990,0.839539,124,log2,12,8,6,0.375598
646,29,0.801990,0.832141,195,sqrt,12,11,8,0.598046
212,30,0.801990,0.845728,144,auto,12,14,6,0.413265
323,31,0.801989,0.841678,181,auto,34,11,6,0.380225
710,32,0.801989,0.840714,102,sqrt,67,5,6,0.375860
550,33,0.801988,0.846709,102,log2,12,11,6,0.364365
430,34,0.801833,0.832895,167,sqrt,56,8,8,0.584505
846,35,0.801833,0.849234,144,auto,56,2,6,0.488930
271,36,0.801833,0.832439,169,sqrt,56,11,8,0.414450
415,37,0.801833,0.842011,106,auto,45,8,6,0.376860
654,38,0.801832,0.878879,112,sqrt,12,11,2,0.421976
950,38,0.801832,0.840223,169,sqrt,12,2,6,0.390221
385,38,0.801832,0.833088,163,sqrt,23,14,8,0.399681
355,41,0.801832,0.840626,146,sqrt,100,8,6,0.344825
705,42,0.801832,0.856825,124,log2,89,14,1,0.478974
818,43,0.801675,0.857579,191,log2,45,14,1,0.604603
871,43,0.801675,0.841029,177,log2,23,8,6,0.569380
122,45,0.801674,0.850040,100,sqrt,89,11,6,0.291107
954,46,0.801674,0.832439,179,auto,67,14,8,0.367602
788,46,0.801674,0.840048,161,sqrt,100,14,6,0.512806
291,48,0.801517,0.839802,171,auto,56,2,8,0.405436
31,49,0.801516,0.839136,155,sqrt,34,2,8,0.387895
944,50,0.801516,0.831703,161,log2,12,8,8,0.378689
747,51,0.801515,0.866852,112,sqrt,34,5,4,0.395971
104,51,0.801515,0.841380,118,auto,45,8,6,0.278764
762,53,0.801515,0.860489,128,sqrt,12,5,4,0.395661
78,54,0.801515,0.850163,126,log2,78,2,6,0.426202
578,54,0.801515,0.841205,106,sqrt,56,11,6,0.366995
508,56,0.801515,0.850391,132,sqrt,78,5,6,0.471915
170,57,0.801360,0.840872,134,auto,None,2,6,0.336658
524,57,0.801360,0.839960,122,auto,23,14,8,0.446664
169,59,0.801359,0.841152,148,auto,67,5,6,0.353373
141,60,0.801359,0.839048,124,log2,78,8,8,0.284822
484,60,0.801359,0.839890,195,auto,56,8,8,0.614157
999,62,0.801359,0.867010,167,log2,78,11,1,0.408112
358,63,0.801359,0.849725,171,sqrt,67,11,6,0.403413
146,63,0.801359,0.860086,153,sqrt,78,14,6,0.416003
849,63,0.801359,0.860752,142,log2,None,11,4,0.495589
729,63,0.801359,0.832334,159,auto,100,2,8,0.562733
587,67,0.801359,0.840083,200,auto,56,2,8,0.661092
199,68,0.801358,0.855615,112,auto,100,14,4,0.281847
240,69,0.801358,0.867221,167,log2,45,5,4,0.472580
295,69,0.801358,0.861576,140,log2,89,8,6,0.332142
679,71,0.801357,0.848971,114,log2,23,2,6,0.383545
401,72,0.801202,0.856316,126,sqrt,None,2,4,0.349327
902,73,0.801202,0.833123,110,log2,23,11,8,0.399098
532,74,0.801202,0.840556,169,sqrt,34,14,6,0.601268
340,75,0.801202,0.849690,100,sqrt,67,8,8,0.235831
471,75,0.801202,0.832246,165,sqrt,89,8,8,0.571769
713,77,0.801202,0.849041,106,sqrt,89,11,8,0.383118
957,78,0.801201,0.832632,159,sqrt,78,2,8,0.372345
112,78,0.801201,0.839504,122,log2,56,8,8,0.319911
280,80,0.801201,0.840293,102,auto,100,5,6,0.271373
541,81,0.801201,0.832948,142,log2,78,8,8,0.480565
284,82,0.801201,0.837734,132,log2,12,5,8,0.309921
997,83,0.801201,0.849707,200,log2,56,14,8,0.441294
689,84,0.801200,0.849918,155,sqrt,45,14,8,0.571888
388,85,0.801200,0.845991,100,log2,78,14,4,0.256419
563,85,0.801200,0.866888,104,sqrt,56,2,4,0.386508
207,87,0.801045,0.841555,163,log2,23,11,6,0.657528
850,87,0.801045,0.839469,112,log2,23,8,8,0.383758
606,89,0.801044,0.850864,112,sqrt,100,11,4,0.407113
419,90,0.801044,0.832334,163,sqrt,67,11,8,0.575531
34,91,0.801044,0.841766,185,sqrt,45,8,6,0.424761
394,91,0.801044,0.832895,195,sqrt,56,14,8,0.464200
379,93,0.801043,0.884208,179,auto,78,8,4,0.464703
422,94,0.801043,0.851934,148,sqrt,56,11,4,0.536722
421,95,0.801043,0.850356,169,auto,67,11,6,0.615174
674,95,0.801043,0.841555,181,log2,None,8,6,0.570206
307,97,0.801043,0.848936,106,auto,100,5,8,0.256241
439,98,0.801042,0.849602,136,log2,89,11,8,0.497084
128,98,0.801042,0.845693,116,auto,12,14,6,0.317970
793,98,0.801042,0.839609,167,sqrt,23,8,8,0.546853
142,101,0.801042,0.851408,124,log2,56,11,4,0.286337
546,102,0.801042,0.850268,165,sqrt,100,5,6,0.612433
819,103,0.801041,0.865766,116,log2,78,11,1,0.404521
389,104,0.800886,0.839574,140,sqrt,56,14,8,0.387231
821,105,0.800886,0.841573,10,sqrt,67,2,8,0.058503
925,105,0.800886,0.833088,197,log2,56,14,8,0.432177
866,105,0.800886,0.848007,120,sqrt,12,2,6,0.408575
770,108,0.800886,0.840539,148,sqrt,23,5,6,0.471746
723,109,0.800886,0.850075,177,auto,None,8,6,0.557546
241,110,0.800885,0.867659,185,sqrt,89,11,1,0.457119
294,111,0.800885,0.857263,197,auto,100,2,4,0.420002
647,111,0.800885,0.852898,136,sqrt,89,14,2,0.472165
706,111,0.800885,0.841485,179,auto,78,11,6,0.573796
548,114,0.800885,0.841415,193,sqrt,34,11,6,0.635971
920,114,0.800885,0.839592,124,auto,None,14,6,0.291901
644,114,0.800885,0.856141,132,auto,67,5,4,0.457417
735,117,0.800885,0.839522,124,auto,None,14,8,0.427702
66,117,0.800885,0.840889,126,sqrt,45,8,6,0.343348
35,119,0.800885,0.861085,112,auto,67,8,6,0.295221
740,119,0.800885,0.832089,148,auto,89,5,8,0.500240
